"mean" "activity" "subject"
0.264162361482511 "WALKING_UPSTAIRS" "19"
0.263751295578452 "WALKING_UPSTAIRS" "20"
0.265472513183937 "WALKING_UPSTAIRS" "21"
0.264811257737466 "WALKING_UPSTAIRS" "22"
0.264864705543914 "WALKING_UPSTAIRS" "23"
0.265009752506645 "WALKING_UPSTAIRS" "24"
0.264571788867161 "WALKING_UPSTAIRS" "25"
0.264229267304891 "WALKING_UPSTAIRS" "26"
0.265211414163938 "WALKING_UPSTAIRS" "27"
0.26540697428928 "WALKING_UPSTAIRS" "28"
0.265357026685372 "WALKING_UPSTAIRS" "29"
0.26485824786246 "WALKING_UPSTAIRS" "30"
0.283537292237676 "WALKING_DOWNSTAIRS" "1"
0.285703300325105 "WALKING_DOWNSTAIRS" "2"
0.285059708408127 "WALKING_DOWNSTAIRS" "3"
0.285720231672229 "WALKING_DOWNSTAIRS" "4"
0.286355280955449 "WALKING_DOWNSTAIRS" "5"
0.285410082857397 "WALKING_DOWNSTAIRS" "6"
0.285046018235153 "WALKING_DOWNSTAIRS" "7"
0.285283107111583 "WALKING_DOWNSTAIRS" "8"
0.284832048382567 "WALKING_DOWNSTAIRS" "9"
0.286088527666065 "WALKING_DOWNSTAIRS" "10"
0.285863986612172 "WALKING_DOWNSTAIRS" "11"
0.285551049702976 "WALKING_DOWNSTAIRS" "12"
0.285574281576512 "WALKING_DOWNSTAIRS" "13"
0.284552595927553 "WALKING_DOWNSTAIRS" "14"
0.286410513037234 "WALKING_DOWNSTAIRS" "15"
0.285759516350725 "WALKING_DOWNSTAIRS" "16"
0.284978920653357 "WALKING_DOWNSTAIRS" "17"
0.285620269866472 "WALKING_DOWNSTAIRS" "18"
0.284873516785177 "WALKING_DOWNSTAIRS" "19"
0.283858403251312 "WALKING_DOWNSTAIRS" "20"
0.285337218067835 "WALKING_DOWNSTAIRS" "21"
0.285677615633826 "WALKING_DOWNSTAIRS" "22"
0.284922257998028 "WALKING_DOWNSTAIRS" "23"
0.285620363981524 "WALKING_DOWNSTAIRS" "24"
0.285043894086397 "WALKING_DOWNSTAIRS" "25"
0.285004034776373 "WALKING_DOWNSTAIRS" "26"
0.285546878711738 "WALKING_DOWNSTAIRS" "27"
0.285666384977612 "WALKING_DOWNSTAIRS" "28"
0.286171894599295 "WALKING_DOWNSTAIRS" "29"
0.28569094243399 "WALKING_DOWNSTAIRS" "30"
0.272097063403707 "SITTING" "1"
0.272976427747418 "SITTING" "2"
0.273519773990077 "SITTING" "3"
0.273271070044765 "SITTING" "4"
0.273953875525061 "SITTING" "5"
0.272851254333903 "SITTING" "6"
0.272355304447472 "SITTING" "7"
0.272865618217445 "SITTING" "8"
0.273280885375931 "SITTING" "9"
0.273677409571889 "SITTING" "10"
0.273514025864461 "SITTING" "11"
0.273096949219208 "SITTING" "12"
0.273480676330657 "SITTING" "13"
0.272422809468964 "SITTING" "14"
0.273890338706012 "SITTING" "15"
0.273655113963115 "SITTING" "16"
0.273098971288083 "SITTING" "17"
0.273514652174904 "SITTING" "18"
0.272450473401405 "SITTING" "19"
0.272105885786199 "SITTING" "20"
0.273734480859762 "SITTING" "21"
0.273312950058595 "SITTING" "22"
0.27312760234123 "SITTING" "23"
0.273721929458134 "SITTING" "24"
0.273323922103395 "SITTING" "25"
0.273607976646389 "SITTING" "26"
0.273789016256601 "SITTING" "27"
0.273743163115716 "SITTING" "28"
0.27394978152426 "SITTING" "29"
0.273791817560296 "SITTING" "30"
0.277036707619091 "STANDING" "1"
0.278337744256267 "STANDING" "2"
0.278235551576395 "STANDING" "3"
0.278391610629903 "STANDING" "4"
0.279068688559944 "STANDING" "5"
0.27810911826081 "STANDING" "6"
0.277791492363258 "STANDING" "7"
0.278035782089076 "STANDING" "8"
0.277902742422987 "STANDING" "9"
0.278890258703154 "STANDING" "10"
0.27881144212 "STANDING" "11"
0.278383184979215 "STANDING" "12"
0.278700496602482 "STANDING" "13"
0.277779367146611 "STANDING" "14"
0.279017890705181 "STANDING" "15"
0.278787860258432 "STANDING" "16"
0.278337849766849 "STANDING" "17"
0.27870780983614 "STANDING" "18"
0.277638139552212 "STANDING" "19"
0.277452978475537 "STANDING" "20"
0.278932203363146 "STANDING" "21"
0.278505820187061 "STANDING" "22"
0.278239319655928 "STANDING" "23"
0.27870637121055 "STANDING" "24"
0.278488106228826 "STANDING" "25"
0.278009666698786 "STANDING" "26"
0.278815932402361 "STANDING" "27"
0.278921767822544 "STANDING" "28"
0.279182239784439 "STANDING" "29"
0.278718406221749 "STANDING" "30"
0.269241357346229 "LAYING" "1"
0.26898416749131 "LAYING" "2"
0.269190333375574 "LAYING" "3"
0.269568106617082 "LAYING" "4"
0.269868423723291 "LAYING" "5"
0.269711546351221 "LAYING" "6"
0.269304080638591 "LAYING" "7"
0.26910572458632 "LAYING" "8"
0.269085046798763 "LAYING" "9"
0.269446348899954 "LAYING" "10"
0.269478039777077 "LAYING" "11"
0.269601156233167 "LAYING" "12"
0.2694950202512 "LAYING" "13"
0.269686615365027 "LAYING" "14"
0.269393051439045 "LAYING" "15"
0.269983868020045 "LAYING" "16"
0.269496407933913 "LAYING" "17"
0.269719126815827 "LAYING" "18"
0.268673191375912 "LAYING" "19"
0.269501858692332 "LAYING" "20"
0.27013263150305 "LAYING" "21"
0.269172955379252 "LAYING" "22"
0.269278839907531 "LAYING" "23"
0.269887248827297 "LAYING" "24"
0.270413797981535 "LAYING" "25"
0.269308945380929 "LAYING" "26"
0.269911333636643 "LAYING" "27"
0.269900854803161 "LAYING" "28"
0.269690832598873 "LAYING" "29"
0.269563901192911 "LAYING" "30"
